"id","timestamp","reference","contract_type","entry_tick","exit_tick","sell_spot","buy_price","sell_price","profit"
49,"2018-07-21 16:21:00 GMT+0800","59334478988","CALL","6222.10","6224.26","6224.26",1.01,"0.00","-1.01"
50,"2018-07-21 16:21:14 GMT+0800","59334495568","CALL","6225.60","6235.43","6236.35",1.14,6.55,"5.41"
51,"2018-07-21 16:21:31 GMT+0800","59334513868","CALL","6235.35","6239.39","6239.39",0.35,2.01,"1.66"
52,"2018-07-21 16:21:45 GMT+0800","59334528188","CALL","6238.15","6240.78","6240.78",0.35,"0.00","-0.35"
53,"2018-07-21 16:21:58 GMT+0800","59334542708","CALL","6240.72","6237.60","6237.60",0.39,"0.00","-0.39"
54,"2018-07-21 16:22:12 GMT+0800","59334559348","CALL","6241.73","6242.83","6242.83",0.44,"0.00","-0.44"
55,"2018-07-21 16:22:26 GMT+0800","59334574508","CALL","6246.81","6243.35","6243.35","0.50","0.00","-0.50"
56,"2018-07-21 16:22:40 GMT+0800","59334588928","CALL","6244.65","6249.99","6249.99",0.56,"3.20","2.64"
57,"2018-07-21 16:22:55 GMT+0800","59334604108","CALL","6252.28","6256.11","6256.11",0.35,"2.00","1.65"
58,"2018-07-21 16:23:08 GMT+0800","59334621008","CALL","6254.11","6255.31","6255.31",0.35,"0.00","-0.35"
59,"2018-07-21 16:23:22 GMT+0800","59334636928","CALL","6255.85","6258.03","6258.03",0.39,"0.00","-0.39"
60,"2018-07-21 16:23:36 GMT+0800","59334651788","CALL","6255.69","6256.02","6256.02",0.44,"0.00","-0.44"
61,"2018-07-21 16:23:50 GMT+0800","59334666428","CALL","6254.06","6250.57","6250.57","0.50","0.00","-0.50"
62,"2018-07-21 16:24:05 GMT+0800","59334685068","CALL","6248.15","6247.10","6247.10",0.56,"0.00","-0.56"
63,"2018-07-21 16:26:08 GMT+0800","59334810708","CALL","6241.33","6240.12","6240.12",0.63,"0.00","-0.63"
64,"2018-07-21 16:26:23 GMT+0800","59334826528","CALL","6238.68","6237.68","6237.68",0.71,"0.00","-0.71"
65,"2018-07-21 16:26:37 GMT+0800","59334840628","CALL","6235.90","6237.69","6237.69","0.80","0.00","-0.80"
